frame_id,timestamp,person_present,bbox,in_danger_zone,trigger,reason,stable,motion_px,aspect_ratio,static_seconds
48,4.80,1,"[92, 113, 248, 229]",0,0,stable_normal,1,1.41,1.345,1.20
49,4.90,1,"[93, 112, 249, 228]",0,0,stable_normal,1,1.41,1.345,1.30
50,5.00,1,"[92, 113, 248, 229]",0,0,stable_normal,1,1.41,1.345,1.40
51,5.10,1,"[93, 112, 249, 228]",0,0,stable_normal,1,1.41,1.345,1.50
52,5.20,1,"[92, 113, 248, 229]",0,0,stable_normal,1,1.41,1.345,1.60
53,5.30,1,"[93, 112, 249, 228]",0,0,stable_normal,1,1.41,1.345,1.70
54,5.40,1,"[92, 113, 248, 229]",0,0,stable_normal,1,1.41,1.345,1.80
55,5.50,1,"[93, 112, 249, 228]",0,0,stable_normal,1,1.41,1.345,1.90
56,5.60,1,"[92, 113, 248, 229]",0,0,stable_normal,1,1.41,1.345,2.00
57,5.70,1,"[93, 112, 249, 228]",0,0,stable_normal,1,1.41,1.345,2.10
58,5.80,1,"[92, 113, 248, 229]",0,0,stable_normal,1,1.41,1.345,2.20
59,5.90,1,"[93, 112, 249, 228]",0,0,stable_normal,1,1.41,1.345,2.30
60,6.00,1,"[92, 113, 248, 229]",0,0,stable_normal,1,1.41,1.345,2.40
61,6.10,1,"[93, 112, 249, 228]",0,0,stable_normal,1,1.41,1.345,2.50
62,6.20,1,"[92, 113, 248, 229]",0,0,stable_normal,1,1.41,1.345,2.60
63,6.30,1,"[93, 112, 249, 228]",0,0,stable_normal,1,1.41,1.345,2.70
64,6.40,1,"[92, 113, 248, 229]",0,0,stable_normal,1,1.41,1.345,2.80
65,6.50,1,"[93, 112, 249, 228]",0,0,stable_normal,1,1.41,1.345,2.90
66,6.60,1,"[92, 113, 248, 229]",0,0,stable_normal,1,1.41,1.345,3.00
67,6.70,1,"[93, 112, 249, 228]",0,1,static_too_long,1,1.41,1.345,3.10
68,6.80,1,"[92, 113, 248, 229]",0,1,static_too_long,1,1.41,1.345,3.20
69,6.90,1,"[93, 112, 249, 228]",0,1,static_too_long,1,1.41,1.345,3.30
70,7.00,1,"[92, 113, 248, 229]",0,1,static_too_long,1,1.41,1.345,3.40
71,7.10,1,"[320, 80, 420, 220]",1,1,danger_zone,0,201.10,0.714,0.00
72,7.20,1,"[320, 80, 420, 220]",1,1,danger_zone,0,0.00,0.714,0.00
73,7.30,1,"[320, 80, 420, 220]",1,1,danger_zone,0,0.00,0.714,0.00
74,7.40,1,"[320, 80, 420, 220]",1,1,danger_zone,0,0.00,0.714,0.00
75,7.50,1,"[320, 80, 420, 220]",1,1,danger_zone,0,0.00,0.714,0.00
76,7.60,1,"[320, 80, 420, 220]",1,1,danger_zone,0,0.00,0.714,0.00
77,7.70,1,"[320, 80, 420, 220]",1,1,danger_zone,0,0.00,0.714,0.00
78,7.80,1,"[320, 80, 420, 220]",1,1,danger_zone,1,0.00,0.714,0.00
79,7.90,1,"[320, 80, 420, 220]",1,1,danger_zone,1,0.00,0.714,0.00
80,8.00,1,"[320, 80, 420, 220]",1,1,danger_zone,1,0.00,0.714,0.00
